"ASV","Taxon","Confidence"
"cd761861035099ec31c72f17c96385c7","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9841587"
"7194e3f4dca77f74911e7b46bb716150","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9990970"
"21066ee9f5cf654da317d14efe6c15a4","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9508505"
"ab7b3e2baed3bf6c22d7a2e76540f456","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae","0.7878061"
"ceb8842cf2e19d6aba9de5f3017cf010","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae","0.8112315"
"a3d01880d23b699f9f3c129c077cd1c9","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae","0.8567446"
"201391ae613ddd9b947e72d8a1e59409","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Propionivibrio","0.7621517"
"c2eb5654e8432989f37449915fc11c2a","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9993383"
"ac8ce4a496ec3556831cc4013ec706a6","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__MM1; s__uncultured_bacterium","0.7023680"
"4742996314864a97bfae957d1be4e2c8","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84","0.9915459"
"4fbc8959753272686a2809b575358c16","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae","0.9999708"
"1a3ec881d3f50bcf37cdd03db966f137","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9842796"
"8a3219993677f6c12f64225a2a162d9a","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria","0.9916279"
"5ad7fc1e5a2da34a11050adb5a20fa81","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus","0.9986550"
"bcf8855b44f53b95096704b6eed9836e","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Ellin6067","0.9673259"
"f1885238d8611d5b76b38ea2aa52e03e","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Ellin6067","0.9742951"
