"ASV","Taxon","Confidence"
"e4cac86d4b6b54eab5a81881282db8ae","d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__Aquisphaera","0.8952038"
"924ac629fe999a22c9a7c287f0aec844","d__Bacteria; p__Planctomycetota; c__vadinHA49; o__vadinHA49; f__vadinHA49; g__vadinHA49","0.9412311"
"768ed93338b77d76b39ad723bd85f28d","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured","0.9843860"
"f89dbe8d81c20fc8caf1264e3ac255b3","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured","0.9705373"
"ec6859b80adffc6a54ed19767ca3ddfc","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured; s__metagenome","0.8555508"
"93b6837a3e8441a240f28934ee80d770","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__Micropepsaceae; s__uncultured_proteobacterium","0.7529792"
"bf306ebb2fd836b9110d2388e438dd00","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured","0.9936605"
"78fb2243c6d58242db32a6eb14da08d5","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys","0.9448102"
"c3ccb44a5c76bbf269bab59fc81865b3","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae","0.9969681"
"fdd55eb5918834fb93b437187ee9c931","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys","0.9534433"
"fa16755041bfb5e6e50f28b6eaf36935","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae","0.9971671"
"b7954e7cf6a2a5ab8af74382e1961987","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured","0.7887649"
"44e726df9116f56476b9355c8bbd5847","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Rhodoblastus","0.9897780"
"1a6675db93c5b1646b0cd98ab1f6a9c1","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae","0.9420601"
"b4f58a4f08244f33552567517b319a8f","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus; s__uncultured_bacterium","0.9077151"
"49a2d563e5cdfaefa301a52b083ea376","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus; s__uncultured_bacterium","0.7842286"
"1d9fd315edccf1f2541d8b0a589ff1e9","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus","0.9987564"
"4153c180dfab2b8c360751bb5a40a84e","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus; s__uncultured_Alphaproteobacteria","0.7850284"
"be8e32b71a6a76ca1b41741e5aa8d7d8","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus","0.9944479"
"1f08b75618eb119da9d7f3152d295063","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__uncultured; s__uncultured_Caulobacteraceae","0.7739366"
"e40755135c19b9f45c1f71a5a2760e9f","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria","0.9979326"
"78ed07185aa7e2ffaa4911203d9a1f04","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae","0.9905765"
"964bdb602a90de00bc94a90312e43a90","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__uncultured","0.9848612"
"f2c02bac09ad6864644485dc7a4562b4","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis","0.9999048"
"9fb77ef614599b443715be10cab0133d","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae","0.9794070"
"4ace321a1672b29baea2f078687c3377","d__Bacteria","0.9999137"
"8c1a64fd267c438960b160577a583d78","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales","0.7674598"
"72992bdd3a47c5615c511aba7290fe2a","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae","0.9986803"
"bca051d4f566eeb4e4373b94e5a39a83","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__uncultured","0.7832968"
"605e3f3ec7d8ad96313a3983755e15cd","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae","0.9960408"
"48043cf65814626cfabbe658bf7a23c2","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae","0.9960238"
"973f44ada3fbd0b3bfd58acf80ca88cf","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__uncultured","0.8164042"
"2e4915529e8c2c1c479bb81a2eaa4c9a","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured","0.7601407"
"6c1f3241eda65fd2bd4aad1289b5cf91","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured","0.7663164"
"d58b8f45806dde0b3f4338c3e709d3ba","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Magnetospirillaceae; g__uncultured; s__uncultured_bacterium","0.9558183"
"8fa819b8d73a34ef327ab9857bf68a95","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__uncultured","0.9838547"
